Edge,From,To,Relationship,Score
956,RHOV,ARHGEF38,Interaction,929
964,HGF,ACTN2,Interaction,904
965,LRRC7,ADGRL2,Interaction,739
976,DCN,TGFB2,Interaction,961
977,HGF,TGFB2,Interaction,926
980,USP18,CMPK2,Interaction,707
985,CYP24A1,CA3,Interaction,738
988,SLC10A1,ABCB11,Interaction,912
996,HOXA6,HOXC5,Interaction,966
997,HOXA6,HOXB7,Interaction,965
998,HOXA6,HOXB5,Interaction,967
1002,NTN1,SEMA5B,Interaction,774
1011,NTN1,SEMA3A,Interaction,780
1014,NTN1,SEMA5A,Interaction,768
1019,USP18,OASL,Interaction,930
1030,GZMB,KLRK1,Interaction,736
1034,GZMB,KLRD1,Interaction,769
1036,IL2RB,KLRC4-KLRK1,Interaction,702
1037,GZMB,KLRC4-KLRK1,Interaction,744
1046,DCN,COL5A1,Interaction,700
1053,DCN,ERBB3,Interaction,819
1055,ITGB4,ERBB3,Interaction,923
1057,HGF,ERBB3,Interaction,909
1059,DCN,LUM,Interaction,941
1061,DCN,TMPRSS6,Interaction,908
1062,DCN,BMP2,Interaction,705
1066,HGF,BMP2,Interaction,719
1070,HGF,MMP1,Interaction,742
1072,DCN,ERBB4,Interaction,838
1074,HGF,ERBB4,Interaction,764
1075,DCN,CCN4,Interaction,788
1082,EEF1A2,RPL36A-HNRNPH2,Interaction,764
1085,EEF1A2,ENSG00000260342,Interaction,834
1087,EEF1A2,WDR31,Interaction,891
1090,USP18,DHX58,Interaction,844
1092,GCK,HK3,Interaction,810
1099,STX1B,SYT12,Interaction,705
1101,UTS2,PTGER1,Interaction,900
1102,PROKR2,PTGER1,Interaction,900
1103,MLNR,PTGER1,Interaction,909
1104,UTS2,KISS1R,Interaction,904
1105,PROKR2,KISS1R,Interaction,927
1106,MLNR,KISS1R,Interaction,900
1108,UTS2,QRFP,Interaction,919
1109,PROKR2,QRFP,Interaction,903
1110,MLNR,QRFP,Interaction,911
1111,UTS2,EDNRB,Interaction,901
1112,PROKR2,EDNRB,Interaction,910
1113,MLNR,EDNRB,Interaction,904
1114,UTS2,HRH1,Interaction,900
1115,PROKR2,HRH1,Interaction,902
1116,MLNR,HRH1,Interaction,906
1118,UTS2,F2R,Interaction,900
1120,PROKR2,F2R,Interaction,900
1121,MLNR,F2R,Interaction,900
1122,UTS2,TAC3,Interaction,917
1123,PROKR2,TAC3,Interaction,969
1124,MLNR,TAC3,Interaction,902
1125,UTS2,CHRM3,Interaction,900
1126,PROKR2,CHRM3,Interaction,903
1127,MLNR,CHRM3,Interaction,900
1128,UTS2,CYSLTR2,Interaction,900
1129,PROKR2,CYSLTR2,Interaction,900
1130,MLNR,CYSLTR2,Interaction,918
1131,UTS2,FFAR3,Interaction,900
1132,PROKR2,FFAR3,Interaction,900
1133,MLNR,FFAR3,Interaction,901
1134,UTS2,HTR2A,Interaction,900
1135,PROKR2,HTR2A,Interaction,902
1136,MLNR,HTR2A,Interaction,901
1137,UTS2,NPFFR1,Interaction,902
1138,PROKR2,NPFFR1,Interaction,901
1139,MLNR,NPFFR1,Interaction,901
1140,UTS2,AVPR1B,Interaction,900
1141,PROKR2,AVPR1B,Interaction,919
1142,MLNR,AVPR1B,Interaction,910
1143,UTS2,PTGFR,Interaction,900
1144,PROKR2,PTGFR,Interaction,905
1146,MLNR,PTGFR,Interaction,913
1147,UTS2,PROK1,Interaction,901
1149,PROKR2,PROK1,Interaction,980
