"Gene","fold_change.x","fold_change.y","STRING_id"
"HR",2.76122165197769,2.76122165197769,"9606.ENSP00000370826"
"HRH1",4.30792721071609,4.30792721071609,"9606.ENSP00000380247"
"HS3ST6",3.72298129589468,3.72298129589468,"9606.ENSP00000416741"
"HSD17B8",5.66814544942181,5.66814544942181,"9606.ENSP00000363794"
"HSPB11",2.95367941329043,2.95367941329043,"9606.ENSP00000194214"
"HTD2",2.09852303102805,2.09852303102805,"9606.ENSP00000481593"
"HTRA1",6.72301658799618,6.72301658799618,"9606.ENSP00000357980"
"IFI16",2.76122165197769,2.76122165197769,"9606.ENSP00000357113"
"IL1RL1",2.24570513326857,2.24570513326857,"9606.ENSP00000233954"
"IL36RN",2.39310046229154,2.39310046229154,"9606.ENSP00000376896"
"INPP5J",2.72300812989731,2.72300812989731,"9606.ENSP00000333262"
"IRF2BP2",2.60679801539985,2.60679801539985,"9606.ENSP00000355568"
"IRGM",3.72298129589468,3.72298129589468,"9606.ENSP00000428220"
"ITGAD",3.34616722322807,3.34616722322807,"9606.ENSP00000373854"
"ITGB5",4.30792721071609,4.30792721071609,"9606.ENSP00000296181"
"ITIH2",5.04487213861444,5.04487213861444,"9606.ENSP00000351190"
"ITLN1",3.72298129589468,3.72298129589468,"9606.ENSP00000323587"
"KCNS3",3.62858894055884,3.62858894055884,"9606.ENSP00000385968"
"KCTD17",2.72300812989731,2.72300812989731,"9606.ENSP00000385096"
"KIAA1210",2.64018913818058,2.64018913818058,"9606.ENSP00000384670"
"KIFAP3",4.72295308154566,4.72295308154566,"9606.ENSP00000354560"
"KLK8",6.04490867176233,6.04490867176233,"9606.ENSP00000375682"
"KYAT1",6.04490867176233,6.04490867176233,"9606.ENSP00000399415"
"LAD1",3.01330187910924,3.01330187910924,"9606.ENSP00000375829"
"LRRC26",3.72298129589468,3.72298129589468,"9606.ENSP00000360597"
"MAGED4",4.53808155418248,4.53808155418248,"9606.ENSP00000472118"
