"Betweenness Dir","Bridging Dir","Centroid Dir","Closeness Dir","COMMON","Degree unDir","degree.layout","Eccentricity Dir","EigenVector Dir","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","InDegree","name","OutDegree","Radiality Dir","selected","shared name","Stress Dir"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""EFNA5""","0.0","0.0011135857461024498","false","""EFNA5""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""EPHA2""","0.0","0.0011135857461024498","false","""EPHA2""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""MAG""","0.0","0.0011135857461024498","false","""MAG""","0.0"
"0.0","0.0","0.0","0.0",,"4.0","4","0.0","0.0",,,,,,,"4.0","""IFNG""","0.0","0.0011135857461024498","false","""IFNG""","0.0"
"0.0","0.0","0.0","0.0",,"5.0","5","0.0","0.0",,,,,,,"5.0","""CASR""","0.0","0.0011135857461024498","false","""CASR""","0.0"
"0.0","0.0","0.0","0.0",,"4.0","4","0.0","0.0",,,,,,,"4.0","""IL4""","0.0","0.0011135857461024498","false","""IL4""","0.0"
"0.0","0.0","-8.0","8.0",,"8.0","8","1.0","0.0",,,,,,,"0.0","""CCL22""","8.0","0.0011235955056179776","false","""CCL22""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""VIP""","0.0","0.0011135857461024498","false","""VIP""","0.0"
"0.0","0.0","-4.0","4.0",,"4.0","4","1.0","0.0",,,,,,,"0.0","""MYO15A""","4.0","0.0011185682326621924","false","""MYO15A""","0.0"
"0.0","0.0","0.0","0.0",,"2.0","2","0.0","0.0",,,,,,,"2.0","""SLC26A4""","0.0","0.0011135857461024498","false","""SLC26A4""","0.0"
"0.0","0.0","-1.0","1.0",,"1.0","1","1.0","0.0",,,,,,,"0.0","""SLC5A5""","1.0","0.0011148272017837235","false","""SLC5A5""","0.0"
"0.0","0.0","0.0","0.0",,"3.0","3","0.0","0.0",,,,,,,"3.0","""P2RY2""","0.0","0.0011135857461024498","false","""P2RY2""","0.0"
"0.0","0.0","0.0","0.0",,"2.0","2","0.0","0.0",,,,,,,"2.0","""FGFR2""","0.0","0.0011135857461024498","false","""FGFR2""","0.0"
"0.0","0.0","-1.0","1.0",,"1.0","1","1.0","0.0",,,,,,,"0.0","""FA2H""","1.0","0.0011148272017837235","false","""FA2H""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""SCD5""","0.0","0.0011135857461024498","false","""SCD5""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""CYP19A1""","0.0","0.0011135857461024498","false","""CYP19A1""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""ISG15""","0.0","0.0011135857461024498","false","""ISG15""","0.0"
"0.0","0.0","-8.0","8.0",,"8.0","8","1.0","0.0",,,,,,,"0.0","""GCK""","8.0","0.0011235955056179776","false","""GCK""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""PCK1""","0.0","0.0011135857461024498","false","""PCK1""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""TMC1""","0.0","0.0011135857461024498","false","""TMC1""","0.0"
"0.0","0.0","-5.0","5.0",,"5.0","5","1.0","0.0",,,,,,,"0.0","""TRPM5""","5.0","0.0011198208286674132","false","""TRPM5""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""TRPV6""","0.0","0.0011135857461024498","false","""TRPV6""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""ABCC8""","0.0","0.0011135857461024498","false","""ABCC8""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""OTOF""","0.0","0.0011135857461024498","false","""OTOF""","0.0"
"0.0","0.0","0.0","0.0",,"1.0","1","0.0","0.0",,,,,,,"1.0","""TMPRSS3""","0.0","0.0011135857461024498","false","""TMPRSS3""","0.0"
"0.0","0.0","-3.0","3.0",,"3.0","3","1.0","0.0",,,,,,,"0.0","""CTTNBP2""","3.0","0.0011173184357541898","false","""CTTNBP2""","0.0"
